"plot.id","block","year","fall_mean_NDVI","sockeye_abundance","combined_salmon_abundance","pulse_year","mean_fall_temp","total_fall_precip","distance_from_bank","elevation_change","metres_downstream","satellite","sockeye_abundance_scaled","combined_salmon_abundance_scaled","mean_fall_temp_scaled","total_fall_precip_scaled","elevation_change_scaled","metres_downstream_scaled","pulse_plus"
"C26","19N",1984,0.522680711,4183,8535,"no",5.231868132,231,"CLOSE",1,2332,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.805794222,-0.618915738,3
"C45","17S",1984,0.512557921,4183,8535,"no",5.231868132,231,"CLOSE",1,3334,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.805794222,-0.235676471,3
"C53","20S",1984,0.534748942,4183,8535,"no",5.231868132,231,"CLOSE",4,3900,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.371397378,-0.019196007,3
"C32","11S",1984,0.522041522,4183,8535,"no",5.231868132,231,"CLOSE",2,2678,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.660995274,-0.486579624,3
"F75","32S",1984,0.579231605,4183,8535,"no",5.231868132,231,"FAR",1,9284,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.805794222,2.040045723,3
"C8","6N",1984,0.579614943,4183,8535,"no",5.231868132,231,"CLOSE",1,998,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.805794222,-1.129136478,3
"C70","47N",1984,0.497615563,4183,8535,"no",5.231868132,231,"CLOSE",3,6951,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.516196326,1.147733138,3
"C7","5N",1984,0.553536032,4183,8535,"no",5.231868132,231,"CLOSE",4,908,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.371397378,-1.163559167,3
"C44","16S",1984,0.559551815,4183,8535,"no",5.231868132,231,"CLOSE",2,3237,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.660995274,-0.27277648,3
"C69","46N",1984,0.530996413,4183,8535,"no",5.231868132,231,"CLOSE",2,6851,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.660995274,1.109485707,3
"C54","21S",1984,0.540140595,4183,8535,"no",5.231868132,231,"CLOSE",4,4015,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.371397378,0.02478854,3
"F1","1S",1984,0.508016478,4183,8535,"no",5.231868132,231,"FAR",7,407,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,0.062999466,-1.3551788,3
"F49","20S",1984,0.532052404,4183,8535,"no",5.231868132,231,"FAR",25,3900,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,2.669380529,-0.019196007,3
"F48","33N",1984,0.563316199,4183,8535,"no",5.231868132,231,"FAR",6,3794,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.081799482,-0.059738284,3
"F12","12N",1984,0.576060824,4183,8535,"no",5.231868132,231,"FAR",16,1629,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,1.366189997,-0.887795183,3
"C29","9S",1984,0.545548005,4183,8535,"no",5.231868132,231,"CLOSE",2,2455,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.660995274,-0.571871397,3
"F80","36S",1984,0.614837829,4183,8535,"no",5.231868132,231,"FAR",0,10027,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.95059317,2.324224141,3
"F41","15S",1984,0.60578177,4183,8535,"no",5.231868132,231,"FAR",5,3149,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.22659843,-0.30643422,3
"F90","54N",1984,0.565496124,4183,8535,"no",5.231868132,231,"FAR",2,10839,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.660995274,2.634793288,3
"C62","39N",1984,0.505322612,4183,8535,"no",5.231868132,231,"CLOSE",3,5781,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.516196326,0.700238186,3
"F5","3N",1984,0.555660966,4183,8535,"no",5.231868132,231,"FAR",10,703,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,0.49739631,-1.241966402,3
"F35","24N",1984,0.495668751,4183,8535,"no",5.231868132,231,"FAR",3,2853,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.516196326,-0.419646618,3
"F64","47N",1984,0.541379485,4183,8535,"no",5.231868132,231,"FAR",7,6951,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,0.062999466,1.147733138,3
"C42","27N",1984,0.548724623,4183,8535,"no",5.231868132,231,"CLOSE",1,3158,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.805794222,-0.302991951,3
"C6","4N",1984,0.639635266,4183,8535,"no",5.231868132,231,"CLOSE",3,798,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.516196326,-1.205631342,3
"F27","22N",1984,0.582875029,4183,8535,"no",5.231868132,231,"FAR",6,2659,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.081799482,-0.493846636,3
"F37","26N",1984,0.573301642,4183,8535,"no",5.231868132,231,"FAR",5,3044,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.22659843,-0.346594023,3
"F34","14S",1984,0.592866343,4183,8535,"no",5.231868132,231,"FAR",10,3039,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,0.49739631,-0.348506395,3
"F65","48N",1984,0.586638088,4183,8535,"no",5.231868132,231,"FAR",7,7058,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,0.062999466,1.18865789,3
"F74","31S",1984,0.605108496,4183,8535,"no",5.231868132,231,"FAR",1,8799,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.805794222,1.854545679,3
"F44","18S",1984,0.581772792,4183,8535,"no",5.231868132,231,"FAR",5,3413,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.22659843,-0.205461,3
"F33","13S",1984,0.618135621,4183,8535,"no",5.231868132,231,"FAR",11,2907,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,0.642195258,-0.398993005,3
"C52","33N",1984,0.485887842,4183,8535,"no",5.231868132,231,"CLOSE",1,3794,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.805794222,-0.059738284,3
"F11","11N",1984,0.629598489,4183,8535,"no",5.231868132,231,"FAR",11,1540,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,0.642195258,-0.921835398,3
"F16","13N",1984,0.559824405,4183,8535,"no",5.231868132,231,"FAR",16,1732,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,1.366189997,-0.848400329,3
"F9","7N",1984,0.518157746,4183,8535,"no",5.231868132,231,"FAR",8,1101,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,0.207798414,-1.089741623,3
"F40","30N",1984,0.546507523,4183,8535,"no",5.231868132,231,"FAR",14,3489,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,1.076592101,-0.176392951,3
"F71","28S",1984,0.593906736,4183,8535,"no",5.231868132,231,"FAR",5,8473,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.22659843,1.729859051,3
"C49","19S",1984,0.485171962,4183,8535,"no",5.231868132,231,"CLOSE",2,3534,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.660995274,-0.159181607,3
"F18","15N",1984,0.552963073,4183,8535,"no",5.231868132,231,"FAR",16,1904,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,1.366189997,-0.782614746,3
"F4","2N",1984,0.498573661,4183,8535,"no",5.231868132,231,"FAR",17,595,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,1.510988945,-1.283273629,3
"F70","27S",1984,0.599928068,4183,8535,"no",5.231868132,231,"FAR",3,8357,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.516196326,1.68549203,3
"C56","22S",1984,0.545275542,4183,8535,"no",5.231868132,231,"CLOSE",2,4119,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.660995274,0.064565869,3
"F17","14N",1984,0.54051041,4183,8535,"no",5.231868132,231,"FAR",23,1849,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,2.379782633,-0.803650833,3
"F39","29N",1984,0.540678659,4183,8535,"no",5.231868132,231,"FAR",13,3394,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,0.931793153,-0.212728012,3
"C33","22N",1984,0.482860084,4183,8535,"no",5.231868132,231,"CLOSE",4,2659,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.371397378,-0.493846636,3
"C55","34N",1984,0.514981577,4183,8535,"no",5.231868132,231,"CLOSE",4,4030,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.371397378,0.030525655,3
"C47","29N",1984,0.56150166,4183,8535,"no",5.231868132,231,"CLOSE",2,3394,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.660995274,-0.212728012,3
"F32","12S",1984,0.623613854,4183,8535,"no",5.231868132,231,"FAR",16,2814,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,1.366189997,-0.434563116,3
"F38","27N",1984,0.567255628,4183,8535,"no",5.231868132,231,"FAR",4,3158,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.371397378,-0.302991951,3
"F13","3S",1984,0.551203144,4183,8535,"no",5.231868132,231,"FAR",3,1517,"LANDSAT5",-0.557584655,-0.561797294,-1.77830091,1.262243906,-0.516196326,-0.930632307,3
